raw,specialization,specialization_norm,specialization_score,normalize,r/n_score,standardize,s/n_score
Tôn Đức Thắng,Tài chính ngân hàng,tai chinh ngan hang,38,ton duc thang,54,None,-1
Đại học Nông Lâm TP. Hồ Chí Minh,Công nghệ Hóa Thực phẩm,cong nghe hoa thuc pham,38,dai hoc nong lam hcm,46,dai hoc nong lam   hcm,95
đại học kinh doanh và công nghệ hà nội ,kế toán,ke toan,19,dai hoc kinh doanh cong nghe ha noi,76,dai hoc kinh doanh cong nghe ha noi,100
đại học công nghiệp to hcm,quản trị kinh doanh,quan tri kinh doanh,31,dai hoc cong nghiep to hcm,81,None,-1
Đại học Tôn Đức Thắng,Công Nghệ Hóa Học,cong nghe hoa hoc,26,dai hoc ton duc thang,57,dai hoc ton duc thang,100
Học Viện Công Nghệ Bưu Chính Viễn Thông,Quản Trị Kinh Doanh,quan tri kinh doanh,31,hoc vien cong nghe buu chinh vien thong,59,hoc vien cong nghe buu chinh vien thong,100
Trường hướng nghiệp Á-Âu,Barista,barista,17,huong nghiep a au,49,None,-1
Saigon Tourism Vocational College,Hospitality Management,hospitality management,36,saigon tourism vocational college,88,None,-1
Greenwich University,IT,it,0,greenwich university,90,None,-1
Đại học Công Nghiệp Thành Phố Hồ Chí Minh,ĐIỆN TỬ TỰ ĐỘNG,dien tu tu dong,16,dai hoc cong nghiep hcm,44,dai hoc cong nghiep   hcm,96
Đại học Quy Nhơn,Kinh tế,kinh te,26,dai hoc quy nhon,62,dai hoc quy nhon,100
Trường Đại học Văn Lang,Quan hệ công chúng và truyền thông,quan he cong chung truyen thong,40,dai hoc van lang,51,dai hoc van lang,100
trường đại học Kinh Tế Đà Nẵng,Ngoại Thương,ngoai thuong,33,dai hoc kinh te da nang,54,dai hoc kinh te da nang,100
CAO ĐẲNG KINH TẾ ĐỐI NGOẠI,XUẤT NHẬP KHẨU,xuat nhap khau,10,cao dang kinh te doi ngoai,19,cao dang kinh te doi ngoai,100
Đại học Khoa học Xã hội và Nhân văn thành phố Hồ Chí Minh,Xã Hội Học,xa hoi hoc,17,dai hoc khoa hoc xa hoi nhan van hcm,49,None,-1
trường cao đẳng y cà mau,hộ sinh,ho sinh,17,cao dang y ca mau,68,None,-1
Đại học Công Nghiệp thực phẩm Tphcm,Công nghệ thực phẩm,cong nghe thuc pham,54,dai hoc cong nghiep thuc pham hcm,71,None,-1
cao đẳng công nghiệp tuy hòa,kế toán - tin học,ke toan tin hoc,36,cao dang cong nghiep tuy hoa,82,None,-1
Đại Học HUFLIT,Quan hệ Công chúng ,quan he cong chung,30,dai hoc huflit,29,None,-1
Trường ĐH thể dục thể thao Đà Nẵng,Giáo Dục Thể Chất,giao duc the chat,33,dai hoc the duc the thao da nang,58,dai hoc the duc the thao da nang,100
Đại học Tôn Đức Thắng,Quản trị nhà hàng-khách sạn,quan tri nha hang khach san,29,dai hoc ton duc thang,57,dai hoc ton duc thang,100
Đại học Cần Thơ,Sư phạm tiếng Pháp,su pham tieng phap,36,dai hoc can tho,53,dai hoc can tho,100
đại học tài chính maketting,thuế,thue,13,dai hoc tai chinh maketting,81,None,-1
Đại học Kinh tế Quốc dân,Tài chính Ngân hàng,tai chinh ngan hang,37,dai hoc kinh te quoc dan,67,dai hoc kinh te quoc dan,100
Đại Học Quy Nhơn,Quản trị Marketing,quan tri marketing,18,dai hoc quy nhon,56,dai hoc quy nhon,100
Vietnamese-German University,Finance-Accounting,finance accounting,30,vietnamese german university,86,None,-1
trường trung cấp đông dương,marketing quảng cáo truyền thông,marketing quang cao truyen thong,42,trung cap dong duong,64,None,-1
THPT Sương Nguyệt Ánh,Phổ Thông,pho thong,27,thpt suong nguyet anh,52,None,-1
Đại học Nông Lâm TPHCM,Ngôn ngữ Anh,ngon ngu anh,31,dai hoc nong lam hcm,48,dai hoc nong lam   hcm,95
đại học khoa học xã hội và nhân văn,xã hội học,xa hoi hoc,29,dai hoc khoa hoc xa hoi nhan van,72,None,-1
Trường Đại Học Giao Thông Vận Tải - Cơ Sở 2,kinh tế BCVT,kinh te bcvt,22,dai hoc giao thong van tai co so 2,49,None,-1
Khoa Luật - Đại học Quốc gia Hà Nội,Luật học,luat hoc,24,khoa luat dai hoc quoc gia ha noi,62,None,-1
ĐẠI HỌC LAO ĐỘNG XÃ HỘI,kế toán,ke toan,20,dai hoc lao dong xa hoi,22,dai hoc lao dong   xa hoi,96
Tốt nghiệp ThPT Yên Viên,Học Phổ Thông,hoc pho thong,27,tot nghiep thpt yen vien,58,None,-1
THPT Nguyễn An Ninh,Tiếng Anh cơ bản.,tieng anh co ban,33,thpt nguyen an ninh,58,None,-1
CĐ công nghiệp Huế,Công nghệ kỹ thuật cơ khí,cong nghe ky thuat co khi,37,cao dang cong nghiep hue,57,cao dang cong nghiep hue,100
truong trung cap sư phạm mam non hong ha,su pham mam non,su pham mam non,62,trung cap su pham mam non hong ha,85,None,-1
Đại học Sư phạm Hà Nội,Tiếng Anh,tieng anh,19,dai hoc su pham ha noi,55,dai hoc su pham ha noi,100
Kinh Tế Quốc Dân,kế toán khoá 3 tháng,ke toan khoa 3 thang,39,kinh te quoc dan,56,None,-1
đại học Văn Hoá TPHCM ,truyền thông văn hoá ,truyen thong van hoa,45,dai hoc van hoa hcm,44,dai hoc van hoa   hcm,95
Đại học Ngoại Ngữ Tin học TP.HCM,Ngôn ngữ Anh,ngon ngu anh,34,dai hoc ngoai ngu tin hoc hcm,56,None,-1
Đại học Khoa Học Xã Hội và Nhân Văn,Ngôn ngữ Anh,ngon ngu anh,18,dai hoc khoa hoc xa hoi nhan van,54,None,-1
Đại học Sư phạm TPHCM,Tâm Lý Học,tam ly hoc,21,dai hoc su pham hcm,50,dai hoc su pham   hcm,95
Học viện công nghệ bưu chính viễn thông Hà Nội,Quản trị kinh doanh,quan tri kinh doanh,31,hoc vien cong nghe buu chinh vien thong ha noi,72,None,-1
Đại học Kinh tế TP HCM,Tài chính - Ngân hàng,tai chinh ngan hang,40,dai hoc kinh te hcm,54,dai hoc kinh te   hcm,95
khoa hoc tu nhien,hóa,hoa,20,khoa hoc tu nhien,100,None,-1
Đại học Sư phạm Kỹ thuật Thành phố Hồ Chí Minh,Công nghệ chế tạo máy,cong nghe che tao may,33,dai hoc su pham ky thuat hcm,46,dai hoc su pham ky thuat   hcm,97
Đại học Công nghệ TP. HCM,Luật Thương mại ,luat thuong mai,32,dai hoc cong nghe hcm,52,dai hoc cong nghe   hcm,95
Đh Mở TPHCM,Luật Kinh Tế,luat kinh te,23,dai hoc mo hcm,24,None,-1
Trừơng trung cấp y tế vĩnh long,dựơc si,duoc si,19,trung cap y te vinh long,76,None,-1
HUFLIT,Ngôn ngữ Anh,ngon ngu anh,11,huflit,0,None,-1
truong y tế tiền giang,điều dưỡng,dieu duong,32,y te tien giang,70,None,-1
cao đẳng kinh tế đối ngoại,tiếng anh thương mại,tieng anh thuong mai,43,cao dang kinh te doi ngoai,77,cao dang kinh te doi ngoai,100
giao thông vận tải,ke toán,ke toan,32,giao thong van tai,83,None,-1
Hoa Sen,Kinh Doanh Quốc Tế,kinh doanh quoc te,32,hoa sen,71,None,-1
ĐH Tài Nguyên Môi Trường TP.HCM,quản lý đất đai,quan ly dat dai,24,dai hoc tai nguyen moi truong hcm,45,dai hoc tai nguyen moi truong   hcm,97
Học viện Báo chí và Tuyên truyền,Báo chí Đa phương tiện,bao chi da phuong tien,39,hoc vien bao chi tuyen truyen,66,hoc vien bao chi tuyen truyen,100
Đại học Luật Hà Nội,Luật học,luat hoc,30,dai hoc luat ha noi,53,dai hoc luat ha noi,100
lao dong xa hoi,ke toan,ke toan,27,lao dong xa hoi,100,None,-1
HUTECH,Ngôn ngữ Anh,ngon ngu anh,11,hutech,0,None,-1
Trường Đại Học Bả Rịa Vũng Tàu,Kế toán tài chính,ke toan tai chinh,30,dai hoc ba ria vung tau,42,dai hoc ba ria   vung tau,96
ĐẠI HỌC SÀI GÒN,Công nghệ kĩ thuật môi trường,cong nghe ki thuat moi truong,27,dai hoc sai gon,20,dai hoc sai gon,100
FTMS Global Academy,Quản trị kinh doanh,quan tri kinh doanh,21,ftms global academy,68,None,-1
Đại học Sư Phạm Hà Nội,Sư phạm Toán học,su pham toan hoc,32,dai hoc su pham ha noi,50,dai hoc su pham ha noi,100
chi cục bảo vệ thực vật Vĩnh Long,chuyên ngành thuốc và bảo vệ thực vật,chuyen nganh thuoc bao ve thuc vat,49,chi cuc bao ve thuc vat vinh long,76,None,-1
Đại học Dân Lập Hải Phòng,Quản trị doanh nghiệp,quan tri doanh nghiep,39,dai hoc dan lap hai phong,56,None,-1
Đại học Mở Thành phố Hồ Chí Minh,Quản Trị Kinh Doanh,quan tri kinh doanh,30,dai hoc mo hcm,30,None,-1
Đại học Kinh doanh và công nghệ Hà Nội,Kế toán,ke toan,14,dai hoc kinh doanh cong nghe ha noi,68,dai hoc kinh doanh cong nghe ha noi,100
Đại học Y Dược TP HCM,Dược sĩ,duoc si,16,dai hoc y duoc hcm,41,dai hoc y duoc   hcm,95
Trường Đại Học Mở Thành phố Hồ Chí Minh,Kế toán - Kiểm toán,ke toan kiem toan,30,dai hoc mo hcm,23,None,-1
Đại học Khoa học xã hội và nhân văn - Đại học Quốc gia Thành phố Hồ Chí Minh,Triết học,triet hoc,13,dai hoc khoa hoc xa hoi nhan van dai hoc quoc gia hcm,57,None,-1
đại học tài chính marketing,marketing,marketing,50,dai hoc tai chinh marketing,81,dai hoc tai chinh   marketing,96
Đại học tài chính kế toán,kế toán,ke toan,31,dai hoc tai chinh ke toan,72,dai hoc tai chinh   ke toan,96
Trung cấp nghề Đại Việt,Quản Trị Kinh Doanh,quan tri kinh doanh,38,trung cap nghe dai viet,70,None,-1
đại học thái nguyên,quản lý nhân lực,quan ly nhan luc,23,dai hoc thai nguyen,74,dai hoc thai nguyen,100
đại học đồng nai,ngôn ngữ anh,ngon ngu anh,36,dai hoc dong nai,69,dai hoc dong nai,100
Đại học Hải Phòng,quản trị tài chính kế toán,quan tri tai chinh ke toan,33,dai hoc hai phong,59,dai hoc hai phong,100
cao đẳng nghề số 7,cơ khí,co khi,25,cao dang nghe so 7,78,None,-1
Cao đẳng giao thông vận tải 3,quản trị kinh doanh,quan tri kinh doanh,29,cao dang giao thong van tai 3,79,None,-1
Đại học Dân lập Đông Đô,Quản trị Kinh doanh,quan tri kinh doanh,33,dai hoc dan lap dong do,57,None,-1
Học viện báo chí tuyên truyền,chính trị học,chinh tri hoc,29,hoc vien bao chi tuyen truyen,76,hoc vien bao chi tuyen truyen,100
Trung Học phổ thông,kinh doanh,kinh doanh,34,trung hoc pho thong,74,None,-1
trường đại học An Giang,Kế toán,ke toan,26,dai hoc an giang,56,dai hoc an giang,100
THPT Lý Nhân Tông,Toán Văn Anh,toan van anh,28,thpt ly nhan tong,41,None,-1
Đại học Huflit,Trung Quốc,trung quoc,17,dai hoc huflit,71,None,-1
THPT Dương Văn Dương,phổ thông,pho thong,28,thpt duong van duong,40,None,-1
tuytu,tututu,tututu,73,tuytu,100,None,-1
Khoa luật Đại Học Quốc gia Hà Nội,Luật,luat,11,khoa luat dai hoc quoc gia ha noi,64,None,-1
đại học nông lâm,quản trị kinh doanh,quan tri kinh doanh,38,dai hoc nong lam,76,None,-1
đại học Kinh tế tphcm,kinh tế học,kinh te hoc,60,dai hoc kinh te hcm,70,dai hoc kinh te   hcm,95
Cao đẳng CÔNG THƯƠNG,Quản trị kinh doanh tổng hợp,quan tri kinh doanh tong hop,38,cao dang cong thuong,35,None,-1
Đại học Sư phạm Hà Nội,Sư phạm Vật lí,su pham vat li,33,dai hoc su pham ha noi,55,dai hoc su pham ha noi,100
AIT ở úc,web developer,web developer,19,ait o uc,38,None,-1
Học viện Thanh thiếu niên Việt Nam,Công tác Thanh niên - Thiếu nhi ,cong tac thanh nien thieu nhi,45,hoc vien thanh thieu nien viet nam,74,hoc vien thanh thieu nien viet nam,100
Trường Đại Học Kinh Tế Huế,Kinh tế nông nghiệp,kinh te nong nghiep,37,dai hoc kinh te hue,44,dai hoc kinh te hue,100
Ngoại Thương,kinh tế đối ngoại,kinh te doi ngoai,34,ngoai thuong,58,None,-1
HUFLIT,International Business,international business,14,huflit,0,None,-1
đại học sư phạm tphcm,Ngôn ngữ hàn quốc,ngon ngu han quoc,28,dai hoc su pham hcm,70,dai hoc su pham   hcm,95
International University,Business Management,business management,37,international university,92,None,-1
Dong Nai University,english language,english language,34,dong nai university,84,None,-1
Nueva Ecija University of Science & Technology,Business Administration,business administration,30,nueva ecija university of science technology,87,None,-1
Saigontourist Hospitality College,Hotel and Restaurant Management,hotel and restaurant management,31,saigontourist hospitality college,91,None,-1
Đại học Nội vụ,thư viện,thu vien,27,dai hoc noi vu,57,None,-1
đại học sỹ quan thông tin,công nhệ thông tin,cong nhe thong tin,56,dai hoc sy quan thong tin,80,None,-1
Đại học Thương mại,Tiếng Anh thương nại,tieng anh thuong nai,53,dai hoc thuong mai,61,dai hoc thuong mai,100
đh Nguyễn Tất Thành,Dược,duoc,7,dai hoc nguyen tat thanh,56,dai hoc nguyen tat thanh,100
Trường Cao Đẳng Văn Hoá Nghệ Thuật Và Du Lịch Sài Gòn (SAIGONACT),Ngôn Ngữ Anh (Biên - Phiên dịch),ngon ngu anh,35,cao dang van hoa nghe thuat du lich sai gon,46,cao dang van hoa nghe thuat du lich sai gon,100
Đại Học Công Nghệ GTVT,Điện tử viễn thông,dien tu vien thong,37,dai hoc cong nghe giao thong van tai,34,dai hoc cong nghe giao thong van tai,100
Đại học khoa học tự nhiên- ĐHQGHN,Quản lý tài nguyên và môi trường,quan ly tai nguyen moi truong,27,dai hoc khoa hoc tu nhien dai hoc quoc gia ha noi,49,dai hoc khoa hoc tu nhien dai hoc quoc gia ha noi,100
Đại học Phương Đông,ngôn ngữ Anh,ngon ngu anh,32,dai hoc phuong dong,58,None,-1
Đại học Cần Thơ,Hệ Thống Thông Tin,he thong thong tin,30,dai hoc can tho,53,dai hoc can tho,100
Đại học Hoa Sen,Marketing,marketing,25,dai hoc hoa sen,67,dai hoc hoa sen,100
Đại học Tài chính - Marketing,Quản trị nhà hàng và dịch vụ ăn uống,quan tri nha hang dich vu an uong,32,dai hoc tai chinh marketing,71,dai hoc tai chinh   marketing,96
ĐH Tài chính - Marketing,Ngôn Ngữ Anh,ngon ngu anh,21,dai hoc tai chinh marketing,63,dai hoc tai chinh   marketing,96
Đại học Văn Lang,Quản trị kinh doanh,quan tri kinh doanh,34,dai hoc van lang,62,dai hoc van lang,100
Trường đại học Điện lực,Kế toán,ke toan,26,dai hoc dien luc,51,dai hoc dien luc,100
ĐH Khoa Học Xã Hội và Nhân Văn,Đông Phương Học,dong phuong hoc,17,dai hoc khoa hoc xa hoi nhan van,45,None,-1
Đại học Thăng Long,Ngôn ngữ Nhật - chuyên ngành Văn hoá Nhật Bản,ngon ngu nhat chuyen nganh van hoa nhat ban,29,dai hoc thang long,67,dai hoc thang long,100
International University,Quản trị kinh doanh,quan tri kinh doanh,33,international university,92,None,-1
Đại học công nghiệp thực phẩm TPHCM,Tài chính kế toán,tai chinh ke toan,28,dai hoc cong nghiep thuc pham hcm,68,None,-1
Kinh tế Kĩ thuật Công nghiệp,Công nghệ may,cong nghe may,29,kinh te ki thuat cong nghiep,71,None,-1
Cao đẳng y tế khánh hòa,Dược,duoc,7,cao dang y te khanh hoa,74,cao dang y te thanh hoa,96
đại học Tôn Đức Thắng,kinh doanh quốc tế,kinh doanh quoc te,51,dai hoc ton duc thang,57,dai hoc ton duc thang,100
Đại học Công đoàn,Quản trị nhân lực,quan tri nhan luc,24,dai hoc cong doan,59,dai hoc cong doan,100
Đại học Nguyễn Tất Thành,Quản lý Tài nguyên và Môi trường,quan ly tai nguyen moi truong,39,dai hoc nguyen tat thanh,62,dai hoc nguyen tat thanh,100
Trường Cao Đẳng Tài Chính Hải Quan,Kinh doanh Xuất Nhập Khẩu,kinh doanh xuat nhap khau,42,cao dang tai chinh hai quan,56,None,-1
Đại học Lao động Xã hội,Bảo hiểm + Kế toán,bao hiem + ke toan,29,dai hoc lao dong xa hoi,61,dai hoc lao dong   xa hoi,96
cao đẳng công nghiệp hà nội,điện công nghiệpkhas,dien cong nghiepkhas,55,cao dang cong nghiep ha noi,78,cao dang cong nghe ha noi,96
Đại học công nghệ TP HCM,Quản trị kinh doanh,quan tri kinh doanh,30,dai hoc cong nghe hcm,58,dai hoc cong nghe   hcm,95
Đại học Công Nghiệp Thực Phẩm TP.HCM,Công Nghệ Thực Phẩm,cong nghe thuc pham,42,dai hoc cong nghiep thuc pham hcm,55,None,-1
đại học quốc tế,quản trị kinh doanh,quan tri kinh doanh,24,dai hoc quoc te,67,None,-1
Saigontourist,Restaurant manager,restaurant manager,32,saigontourist,92,None,-1
Can Tho University,Finance,finance,24,can tho university,83,None,-1
đại học tài chính kế toán,kế toán tổng hợp,ke toan tong hop,29,dai hoc tai chinh ke toan,72,dai hoc tai chinh   ke toan,96
Đại học Kinh tế quốc dân,Quản trị khách sạn,quan tri khach san,33,dai hoc kinh te quoc dan,71,dai hoc kinh te quoc dan,100
Trường Nhật ngữ Đông Du / Trung tâm GDTX Hoa văn,Tiếng Nhật (đang theo học ~N2) / tiếng Trung ( đang theo học ~bằng A),tieng nhat / tieng trung,44,nhat ngu dong du / trung tam gia duc thuong xuyen hoa van,53,None,-1
Cao Đẳng Công Thương CSII,Kế toán,ke toan,23,cao dang cong thuong co so 2,49,None,-1
trường thcs thpt tdtt nguyễn thị địnb,Phú lâm,phu lam,8,thcs thpt the duc the thao nguyen thi dinb,66,None,-1
thpt vĩnh bình,thpr vĩnh bình,thpr vinh binh,79,thpt vinh binh,86,None,-1
Đại học Công Nghệ,Quản trị dịch vụ du lịch và lữ hành,quan tri dich vu du lich lu hanh,27,dai hoc cong nghe,59,None,-1
Trường Đại Học Công Nghiệp TPHCM,Kỹ Thuật Phần Mềm,ky thuat phan mem,30,dai hoc cong nghiep hcm,44,dai hoc cong nghiep   hcm,96
Örebro University,Sommelier - Culinary Arts and Meal Science,sommelier culinary arts and meal science,31,orebro university,88,None,-1
đại học văn hiến,ngôn ngữ anh,ngon ngu anh,36,dai hoc van hien,69,dai hoc van hien,100
Đại học Sư phạm thành phố Hồ Chí Minh,Cử nhân Tâm lý học,cu nhan tam ly hoc,38,dai hoc su pham hcm,39,dai hoc su pham   hcm,95
Sheffield Hallam University,International Human Resources Management,international human resources management,33,sheffield hallam university,89,None,-1
Đại Học Kinh Tế TP. HCM,Quản Trị Du Lịch,quan tri du lich,23,dai hoc kinh te hcm,43,dai hoc kinh te   hcm,95
genetic bach khoa,công nghệ thông tin,cong nghe thong tin,28,genetic bach khoa,100,None,-1
Trường Đại Học Nguyễn Tất Thành.,Chuyên Ngành Điều Dưỡng.,chuyen nganh dieu duong,31,dai hoc nguyen tat thanh,56,dai hoc nguyen tat thanh,100
Đại học Quy Nhơn,Ngôn ngữ Anh,ngon ngu anh,29,dai hoc quy nhon,62,dai hoc quy nhon,100
truong cao dang son la,lai xe tải,lai xe tai,24,cao dang son la,81,cao dang son la,100
cao đẳng kỹ thuật cao thắng,tự động hóa,tu dong hoa,32,cao dang ky thuat cao thang,81,cao dang ky thuat cao thang,100
cao đẳng y tế hà đông,dược,duoc,8,cao dang y te ha dong,71,cao dang y te ha dong,100
đại học sài gòn,công nghệ thông tin,cong nghe thong tin,29,dai hoc sai gon,67,dai hoc sai gon,100
đại học ngân hàng,ngôn ngữ Anh,ngon ngu anh,41,dai hoc ngan hang,71,None,-1
Trường Đại học Nông Lâm TP. HCM,Sư phạm Kỹ thuật Nông nghiệp,su pham ky thuat nong nghiep,29,dai hoc nong lam hcm,39,dai hoc nong lam   hcm,95
Đại học Công nghệ giao thông vận tải,Kế toán doanh nghiệp,ke toan doanh nghiep,36,dai hoc cong nghe giao thong van tai,75,dai hoc cong nghe giao thong van tai,100
Đại học y dược thành phố Hồ Chí Minh,Bác sĩ răng hàm mặt,bac si rang ham mat,32,dai hoc y duoc hcm,41,dai hoc y duoc   hcm,95
trường trung cấp nghề phú nhuận,nấu ăn,nau an,27,trung cap nghe phu nhuan,73,None,-1
cao đẳng cộng đồng Kiên Giang,công nghệ thực phẩm,cong nghe thuc pham,33,cao dang cong dong kien giang,72,None,-1
Đại Học Mở TP Hồ Chí Minh,kết toán,ket toan,18,dai hoc mo hcm,31,None,-1
Đại Học Điện Lực,Kế toán,ke toan,26,dai hoc dien luc,50,dai hoc dien luc,100
Troy ,Business Administration,business administration,22,troy,67,None,-1
DPI center,thiết kế đồ hoạ,thiet ke do hoa,16,dpi center,70,None,-1
ESTIH,Tin học văn phòng,tin hoc van phong,18,estih,0,None,-1
ERC Institute,Marketing,marketing,27,erc institute,69,None,-1
Đại học Ngoại thương,Kinh tế ngoại thương,kinh te ngoai thuong,60,dai hoc ngoai thuong,65,dai hoc ngoai thuong,100
đại học Tôn Đức Thắng,Thiết kế đồ hoạ,thiet ke do hoa,28,dai hoc ton duc thang,57,dai hoc ton duc thang,100
Đại học Bách Khoa TP.HCM,Cơ Điện Tử,co dien tu,13,dai hoc bach khoa hcm,53,None,-1
Cao đẳng Kinh tế - Kỹ thuật Cần Thơ,Công nghệ thực phẩm,cong nghe thuc pham,42,cao dang kinh te ky thuat can tho,62,cao dang kinh te   ky thuat can tho,97
Trường Cao đẳng Kinh Tế Đối Ngoại,Marketing Thương Mại ,marketing thuong mai,34,cao dang kinh te doi ngoai,54,cao dang kinh te doi ngoai,100
Đại học Tài Nguyên và Môi Trường,Quản trị dịch vụ du lịch và lữ hành,quan tri dich vu du lich lu hanh,25,dai hoc tai nguyen moi truong,56,None,-1
Trường Đại Học Lâm nghiệp Việt Nam,Lâm sinh,lam sinh,23,dai hoc lam nghiep viet nam,56,None,-1
Cao Đẳng Công Nghệ Thông Tin TP HCM,Kế toán tin học,ke toan tin hoc,47,cao dang cong nghe thong tin hcm,57,cao dang cong nghe thong tin   hcm,97
Can Tho University of Medicine and Pharmacy,Pharmacy,pharmacy,27,can tho university of medicine and pharmacy,88,None,-1
Đại học Hoa Sen,Quản trị Khách Sạn,quan tri khach san,36,dai hoc hoa sen,67,dai hoc hoa sen,100
đại học kiến trúc hà nội,kỹ thuật môi trường,ky thuat moi truong,35,dai hoc kien truc ha noi,78,dai hoc kien truc ha noi,100
Đại học LẠc HỒng,kế toán,ke toan,26,dai hoc lac hong,56,dai hoc lac hong,100
Đại học Hoa Sen,Kế toán - kiểm toán,ke toan kiem toan,29,dai hoc hoa sen,67,dai hoc hoa sen,100
Trường đại học Bà Rịa Vũng Tàu,Chuyên ngành Kế Toán,chuyen nganh ke toan,23,dai hoc ba ria vung tau,45,dai hoc ba ria   vung tau,96
Đại Học Sài Gòn,Kế Toán,ke toan,27,dai hoc sai gon,47,dai hoc sai gon,100
hutech,quản trị kinh doanh,quan tri kinh doanh,24,hutech,100,None,-1
đại học lâm nghiệp,lâm sinh,lam sinh,38,dai hoc lam nghiep,72,dai hoc lam nghiep,100
Đại học Công Nghiệp Hà Nội,Quản trị kinh doanh du lịch khách sạn,quan tri kinh doanh du lich khach san,35,dai hoc cong nghiep ha noi,58,dai hoc cong nghiep ha noi,100
Đại học Mở TP. Hồ Chí Minh,Công nghệ sinh học,cong nghe sinh hoc,38,dai hoc mo hcm,35,None,-1
Đại học Giao thông vận tải TP. HCM,Kinh tế xây dựng,kinh te xay dung,26,dai hoc giao thong van tai hcm,62,dai hoc giao thong van tai   hcm,97
Đại học Ngoại thương,Kinh tế đối ngoại,kinh te doi ngoai,38,dai hoc ngoai thuong,65,dai hoc ngoai thuong,100
Đại học Đồng Tháp,Ngôn ngữ Anh,ngon ngu anh,34,dai hoc dong thap,59,dai hoc dong thap,100
Đại học Kinh tế - Luật,Kế toán - Kiểm toán,ke toan kiem toan,31,dai hoc kinh te luat,62,None,-1
ACCA,Kế toán - Kiểm toán - Tài Chính - Thuế,ke toan kiem toan tai chinh thue,0,acca,0,None,-1
Đại học Văn hóa Hà Nội,Kinh doanh Xuất bản phẩm,kinh doanh xuat ban pham,39,dai hoc van hoa ha noi,55,dai hoc van hoa ha noi,100
DH Tài Chính - Marketing,Quản trị kinh doanh,quan tri kinh doanh,39,dai hoc tai chinh marketing,59,dai hoc tai chinh   marketing,96
DH Khoa Học Tự Nhiên,Ngoại ngữ,ngoai ngu,18,dai hoc khoa hoc tu nhien,49,None,-1
trần hưng đạo,thể thaochay,the thaochay,40,tran hung dao,69,None,-1
Trường Đại học Kinh tế Đà Nẵng,Ngoại thương,ngoai thuong,34,dai hoc kinh te da nang,53,dai hoc kinh te da nang,100
HUFLIT,Translator and Interpretor,translator and interpretor,12,huflit,0,None,-1
Trường Đại học Công nghệ Tp. Hồ Chí Minh,Translation- English,translation english,39,dai hoc cong nghe hcm,43,dai hoc cong nghe   hcm,95
Học Viện Nông Nghiệp Hà Nội,Khoa học cây trồng,khoa hoc cay trong,31,hoc vien nong nghiep ha noi,56,None,-1
Công nghiệp TP Hồ Chí Minh,Kỉ thuật viên tin hoc,ki thuat vien tin hoc,33,cong nghiep hcm,49,None,-1
trung tam dao tao lai xe co gioi duc thinh,lai xe hang c,lai xe hang c,36,trung tam dao tao lai xe co gioi duc thinh,100,None,-1
Trường Đại học Khoa học Tự nhiên TPHCM,Công nghệ sinh học,cong nghe sinh hoc,34,dai hoc khoa hoc tu nhien hcm,54,None,-1
ĐẠI HỌC SƯ PHẠM ĐÀ NẴNG,VIỆT NAM HỌC (VĂN HOÁ DU LỊCH),viet nam hoc,19,dai hoc su pham da nang,22,dai hoc su pham da nang,100
Đại học Thăng Long,Tài chính Ngân hàng,tai chinh ngan hang,49,dai hoc thang long,67,dai hoc thang long,100
Đại học Kinh doanh và Công nghệ Hà Nội,thanh toán- Ngân hàng,thanh toan ngan hang,43,dai hoc kinh doanh cong nghe ha noi,66,dai hoc kinh doanh cong nghe ha noi,100
Đại học Kinh tế - Luật HCM,Luật dân sự,luat dan su,17,dai hoc kinh te luat hcm,56,None,-1
Trung cấp kỹ thuật công ngiệp Đồng Nai,kỹ thuật phần cứng,ky thuat phan cung,40,trung cap ky thuat cong ngiep dong nai,74,None,-1
HUFLIT UNIVERSITY,Japan Studies,japan studies,33,huflit university,6,None,-1
Đại học Võ Trường Toản,dược,duoc,15,dai hoc vo truong toan,55,dai hoc vo truong toan,100
trường cao đẳng kinh tế kỹ thuật cần thơ,Công nghệ chế biến và bảo quản thực phẩm,cong nghe che bien bao quan thuc pham,38,cao dang kinh te ky thuat can tho,71,cao dang kinh te   ky thuat can tho,97
Đại Học FPT,Marketing,marketing,20,dai hoc fpt,36,dai hoc fpt,100
trung hoc co so nguyen du,cong nhan san xuat,cong nhan san xuat,42,trung hoc co so nguyen du,100,None,-1
Khoa Ngoại Ngữ Đại Học Thái Nguyên,Ngôn Ngữ Anh,ngon ngu anh,22,khoa ngoai ngu dai hoc thai nguyen,62,None,-1
đại học tây đô,dược sĩ đại học,duoc si dai hoc,34,dai hoc tay do,57,dai hoc tay do,100
Hutech,Quản trị kinh doanh,quan tri kinh doanh,24,hutech,83,None,-1
Đại học kinh doanh và công nghệ Hà Nội,kế toán ,ke toan,23,dai hoc kinh doanh cong nghe ha noi,71,dai hoc kinh doanh cong nghe ha noi,100
đại học giao thông vận tải,kế toán tổng hợp,ke toan tong hop,33,dai hoc giao thong van tai,77,dai hoc giao thong van tai,100
Cao đẳng du lịch Hà Nội,Hướng dẫn viên du lịch,huong dan vien du lich,44,cao dang du lich ha noi,65,cao dang du lich ha noi,100
đại học khoa học xã hội và nhân văn tp hồ chí minh,quản lý giáo dục,quan ly giao duc,19,dai hoc khoa hoc xa hoi nhan van hcm,65,None,-1
